number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 1425|2013-04-02|Technologie NDT Sp. z o.o.|ul Pyskowicka 23; 41-807 Zabrze|Technologie NDT Sp. z o.o.|ul Pyskowicka 23; 41-807 Zabrze|32 348-55-62||biuro@technologiendt.pl|www.technologiendt.pl|Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1426|2013-03-27|OTTO ENGINEERING POLSKA Sp. z o.o.|ul. Połonińska 15; 35-082 Rzeszów|Laboratorium Badawcze OTTO|ul. Połonińska 15; 35-082 Rzeszów|17 249-00-43||laboratorium@ottoindustries.com.pl|www.ottoindustries.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1427|2013-04-22|Komenda Wojewódzka Policji w Poznaniu|ul. Kochanowskiego 2a; 60-844 Poznań|Laboratorium Kryminalistyczne|ul. Kochanowskiego 2a; 60-844 Poznań|61 841-38-50||naczelnik.lk@po.policja.gov.pl|www.wielkopolska.policja.gov.pl|Badania w dziedzinie nauk sądowych (I)|Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby inne
AB 1429|2013-04-18|ENERGOTEST Sp. z o.o.|ul. Lotników 2; 38-400 Krosno|ENERGOTEST Sp. z o.o.|ul. Lotników 2; 38-400 Krosno|13 437-46-57||biuro@entest.pl|www.entest.pl|Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1430|2013-04-02|WETALEK Maciej Kołosza|ul. Utrata 9; 16-400 Suwałki|Laboratorium Mikrobiologiczne|ul. Utrata 9a; 16-400 Suwałki|87 566-54-83||wetalek@wetalek.pl|www.wetalek.pl|Badania mikrobiologiczne (K)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1431|2013-04-19|Polski Rejestr Statków S.A.|Al. Gen. J. Hallera 126; 80-416 Gdańsk|Laboratorium Badawcze|Al. Generała Hallera 126; 80-416 Gdańsk|58 751-12-73||dc@prs.pl|www.prs.pl|Badania ogniowe (H)|Wyroby inne
AB 1433|2013-04-23|Katowickie Wodociągi Spółka Akcyjna|ul. Obrońców Westerplatte 89; 40-335 Katowice|Laboratorium Centralne|ul. Obrońców Westerplatte 130; 40-334 Katowice|32 788-26-68||laboratorium.biuro@wodociagi.katowice.pl|www.wodociagi.katowice.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1434|2013-05-27|Komenda Wojewódzka Policji z siedzibą w Radomiu|ul. 11-go Listopada 37/59; 26-600 Radom|Laboratorium Kryminalistyczne|ul. Limanowskiego 95; 26-600 Radom|48 345-38-00||laboratorium.kwp@ra.policja.gov.pl|www.kwp.radom.pl|Badania w dziedzinie nauk sądowych (I)|Wyroby inne
AB 1435|2013-05-16|Instytut Ochrony Roślin-Państwowy Instytut Badawczy|ul. Władysława Węgorka 20; 60-318 Poznań|Klinika Chorób Roślin|ul.  Węgorka 20; 60-318 Poznań|61 864-90-93||n.borodynko@iorpib.poznan.pl|www.ior.poznan.pl|Badania biologicznie i biochemiczne (B) :: Badania mikrobiologiczne (K)|Obiekty i materiały biologiczne przeznaczone do badań
AB 1436|2013-05-14|Badania i Wdrożenia Quark Sp. z o.o.|ul. Jawornicka 8; 60-161 Poznań|Laboratorium Środowiskowe|ul. Jawornicka 8; 60-161 Poznań|61 861-74-78| 500-182-404|biuro@bwquark.pl|www.bwquark.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1437|2013-05-21|Spółdzielnia Mleczarska RYKI|ul. Żytnia 3; 08-500 Ryki|Laboratorium Oceny Surowca|ul. Żytnia 3; 08-500 Ryki|81 889-08-15||k.mucha@smryki.pl|www.smryki.com.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K)|Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1439|2013-07-15|Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Krakowie|ul. Kołowa 3; 30-134 Kraków|Laboratorium Wojewódzkie|ul. Kołowa 3; 30-134 Kraków|12 623-28-00||lw-krakow@piorin.gov.pl|www.piorin.gov.pl|Badania biologicznie i biochemiczne (B)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1440|2013-07-12|Laboratorium Badań Genetycznych Sp. z o.o.|ul. Bohdana Dobrzańskiego 7; 20-262 Lublin|Laboratorium Badań Genetycznych Sp. z o.o.|ul. Bohdana Dobrzańskiego 7; 20-262 Lublin|81 476-18-45| 728-994-605|biuro@lbg.com.pl|www.lbg.com.pl|Badania kliniczne medyczne i weterynaryjne (D)|Obiekty i materiały biologiczne przeznaczone do badań
AB 1441|2013-07-04|Łódzki Ośrodek Szkoleniowo-Konsultacyjny ŁOŚ Sp. z o.o.|ul. Lecznicza 6; 93-173 Łódź|Łódzki Ośrodek Szkoleniowo-Konsultacyjny ŁOŚ Sp. z o.o.|ul. Lecznicza 6; 93-173 Łódź|42 632-89-23||biuro@los.net.pl|www.los.net.pl|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1443|2013-07-22|Legnickie Przedsiębiorstwo Wodociągów i Kanalizacji S.A.|ul. Nowodworska 1; 59-220 Legnica|Dział Laboratorium|ul. Nowodworska 1; 59-220 Legnica|76 855-48-10||laboratorium@lpwiksa.com.pl|www.lpwiksa.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1444|2013-07-18|IGNIS REACTION TO FIRE Piotr Antonowicz, Marek Łuciuk Spółka Jawna|ul. Parkowa 3/1; 21-500 Biała Podlaska|Laboratorium Badawcze Materiałów Budowlanych|Swory, ul. Kościelna 13A; 21-500 Biała Podlaska|83 345-03-32||biuro@ignis-rtf.pl|www.ignis-rtf.pl|Badania ogniowe (H)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1445|2013-07-25|Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie|Al. Mickiewicza 30; 30-059 Kraków|Wydział Informatyki, Elektroniki i Telekomunikacji, Katedra Elektroniki, Laboratorium Badań Strukturalnych|al. Mickiewicza 30; 30-059 Kraków|12 617-25-96||kanak@agh.edu.pl|www.agh.edu.pl|Badania właściwości fizycznych (N)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1446|2013-07-26|Krychowiak Paweł Usługi Telekomunikacyjne CELL-TEL|Gaj Mały 34; 64-520 Obrzycko|Laboratorium Metrologii Pola Elektromagnetycznego|ul. Akacjowa 4; 62-002 Suchy Las|| 604-471-734|pkrychowiak@cell-tel.com.pl||Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1447|2013-07-26|Instytut Innowacji Przemysłu Mleczarskiego Sp. z o.o.|ul. Kormoranów 1; 11-700 Mrągowo|Laboratorium Badawcze|ul. Kormoranów 1; 11-700 Mrągowo|89 741-96-35||laboratorium@iipm.pl|www.iipm.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Papier, tektura, materiały opakowaniowe :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1448|2013-08-27|Zakład Wodociągów i Kanalizacji Sp. z o.o.|ul. Wierzbowa 52; 90-133 Łódź|Dział Laboratoryjny|ul. Wierzbowa 52; 90-133 Łódź|42 677-82-55| 663-666-148|psenderecki@zwik.lodz.pl|www.zwik.lodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1449|2013-08-16|ArcelorMittal Poland Spółka Akcyjna|al. J. Piłsudskiego 92; 41-308 Dąbrowa Górnicza|Laboratoria Badań Jakościowych|ul. Al J. Piłsudskiego 92; 41-308 Dąbrowa Górnicza|32 776-66-66|||www.arcelormittal.com|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Paliwa i materiały smarne
AB 1450|2013-09-02|Zachodniopomorski Uniwersytet Technologiczny w Szczecinie|Al. Piastów 17; 70-310 Szczecin|Centrum Bioimmobilizacji i Innowacyjnych Materiałów Opakowaniowych|ul. Klemensa Janickiego 35; 71-270 Szczecin|91 449-65-94||cbimo@zut.edu.pl|www.cbimo.zut.edu.pl|Badania właściwości fizycznych (N)|Papier, tektura, materiały opakowaniowe :: Wyroby z tworzyw sztucznych i gumy
AB 1451|2013-08-30|Ośrodek Szkolenia, Konsultacji i Doradztwa Ochrony Pracy Mariusz Krzyżański|ul. Wojska Polskiego 42; 98-200 Sieradz|Laboratorium Higieny Pracy|ul. Wojska Polskiego 42; 98-200 Sieradz|43 827-17-20||oskdop@zdnet.pl|www.laboratoriumhigienypracy.pl|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1452|2013-08-27|Tarnobrzeskie Wodociągi Sp. z o.o.|ul. Wiślna 1; 39-400 Tarnobrzeg|Laboratorium Wody i Ścieków|Stale, ul. prof. Pawłowskiego 33; 39-400 Tarnobrzeg|15 823-21-93||biuro@wodociagi.tarnobrzeg.pl|www.wodociagi.tarnobrzeg.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1453|2013-08-14|SciLab Measurements Robert Jastrzębski|ul. Zacisze 53/3; 05-800 Pruszków|SciLab Measurements Robert Jastrzębski|ul. Zacisze 53/3; 05-800 Pruszków|| 792-025-120|rjastrzebski@scilab.pl|www.scilab.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 1454|2013-08-27|LABPOM Letko Paweł|ul. Moniuszki 56; 15-192 Białystok|Laboratorium|Al. 1000-lecia Państwa Polskiego 4 lok. 319; 15-111 Białystok|| 698-649-555|labpombial@wp.pl||Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1455|2013-09-02|VETDIAGNOSTICA Sp z o.o.|ul. Otorowo 30; 86-050 Solec Kujawski|VETDIAGNOSTICA Sp. z o.o.|ul. Otorowo 30; 86-050 Solec Kujawski|52 320-13-41||info@vetdiagnostica.pl|vetdiagnostica.pl|Badania biologicznie i biochemiczne (B) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1456|2013-08-30|GL CENTER Sp. z o.o.|ul. Bałuckiego  4; 43-100 Tychy|Laboratorium Pomiarów Radiologicznych|ul. Wspólna 1; 43-190 Mikołów|32 227-40-12||biuro@glcenter.pl|www.glcenter.pl|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1457|2013-08-28|Zakład Aparatury Medycznej GRYFMED E. Twór, T. Meger S.C.|ul. Akacjowa 14; 72-300 Gryfice|Laboratorium badawcze|ul. Monte Cassino 18A; 70-467 Szczecin|91 444-08-93||laboratorium@gryfmed.pl|www.gryfmed.pl|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1458|2013-10-07|Komenda Wojewódzka Policji w Bydgoszczy|ul. Powstańców Wlkp. 7; 85-090 Bydgoszcz|Laboratorium Kryminalistyczne|ul. Powstańców Wlkp. 7; 85-090 Bydgoszcz|52 588-10-90||laboratorium@bg.policja.gov.pl|www.kujawsko-pomorska.policja.gov.pl|Badania w dziedzinie nauk sądowych (I)|Wyroby inne
AB 1459|2013-09-13|Instytut Medycyny Pracy i Zdrowia Środowiskowego|ul. Kościelna 13; 41-200 Sosnowiec|Pracownia Promieniowania Niejonizującego|ul. Kościelna 13; 41-200 Sosnowiec|32 634-12-36| 501-456-152|s.marzec@imp.sosnowiec.pl|www.imp.sosnowiec.pl|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1461|2013-10-14|Politechnika Wrocławska|ul. Wybrzeże Wyspiańskiego 27; 50-370 Wrocław|Wydział Inżynierii Środowiska, Laboratorium Badań Olfaktometrycznych|Pl. Grunwaldzki 9; 50-377 Wrocław|71 320-25-60||izabela.sowka@pwr.wroc.pl||Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1462|2013-09-11|Marceli Uciński Przedsiębiorstwo Wielobranżowe ELKOM|ul. PCK 10a; 62-600 Koło|Laboratorium ElkomLab|ul. PCK 10a; 62-600 Koło|63 272-51-27||laboratorium@elkomlab.pl|www.elkomlab.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1463|2013-10-08|"Kopalnia Soli ""Kłodawa"" S.A."|Al. 1000-lecia 2; 62-650 Kłodawa|Laboratorium Badań Środowiskowych|Al. 1000-lecia 2; 62-650 Kłodawa|63 273-35-13||lbs@sol-klodawa.com.pl|www.sol-klodawa.com.pl|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1464|2013-10-01|EKOJON mgr inż. Maciej Malesa|ul. Górna 17H/2; 71-218 Bezrzecze|EKOJON mgr inż. Maciej Malesa|ul. Górna 17H/2; 71-218 Bezrzecze|| 503-719-949|ekojon@poczta.onet.pl||Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1465|2013-10-04|Laboratorium Jakości Sprzętu Diagnostycznego mgr inż. Daniel Stawski|ul. 11 listopada 16/1; 32-590 Libiąż|Laboratorium Jakości Sprzętu Diagnostycznego mgr. inż. Daniel Stawski|ul. 11 Listopada 16/1; 32-590 Libiąż|88 373-22-11||labdiag@labdiag.pl|www.labdiag.pl|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1466|2013-10-14|Gmina Miasta Łowicza|Stary Rynek 1; 99-400 Łowicz|Zakład Usług Komunalnych w Łowiczu|ul. Armii Krajowej 2B; 99-400 Łowicz|46 838-40-13||laboratorium@zuklowicz.pl||Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1467|2013-10-29|Komenda Wojewódzka Policji w Kielcach|ul. Seminaryjska 12; 25-372 Kielce|Laboratorium Kryminalistyczne|ul. Kopernika 23; 25-336 Kielce|41 349-26-50|||www.swietokrzyska.policja.gov.pl|Badania w dziedzinie nauk sądowych (I)|Wyroby inne
AB 1469|2013-11-04|EKOS Poznań Sp. z o.o.|ul. Krańcowa 12; 61-022 Poznań|Laboratorium EKOS|ul. Krańcowa 12; 61-022 Poznań|61 871-85-19| 697-989-985|k.jenerowicz@ekos.poznan.pl|laboratorium.ekos.poznan.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1470|2013-12-02|Barg M.B. Gdańsk Sp. z o.o.|ul. Handlowa 15; 81-061 Gdynia|Barg M.B. Gdańsk Sp. z o.o.|ul. Handlowa 15; 81-061 Gdynia|58 667-19-99||marcin.jezewski@barg.pl|www.barg.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1471|2013-11-27|Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy|Al. prof. Sylwestra Kaliskiego 7; 85-796 Bydgoszcz|Zakład Inżynierii Materiałowej i Przetwórstwa Tworzyw|Al. prof. Sylwestra Kaliskiego 7; 85-796 Bydgoszcz|52 340-82-31|||www.utp.edu.pl|Badania mechaniczne, badania metalograficzne (J)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1472|2013-12-02|TEZET Sp. z o.o.|ul. Puławska 38; 20-822 Lublin|Laboratorium|Brzeźno ; 22-174 Brzeźno|82 566-19-63||laboratorium@tezet.pl|www.tezet.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Paliwa i materiały smarne
AB 1473|2013-12-09|ALS FOOD & PHARMACEUTICAL POLSKA Sp. z o.o.|ul. Rubież 46H; 61-612 Poznań|Laboratorium Mikrobiologiczne|ul. Rubież 46H; 61-612 Poznań|| 664-447-049|agnieszka.popielas@alsglobal.com||Badania mikrobiologiczne (K)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1474|2013-12-04|Zakład Sozotechniki Sp. z o.o.|ul. Bernardyńska 3 lok.23; 85-029 Bydgoszcz|Laboratorium Badań Hałasu i Drgań|ul. Bernardyńska 3 lok.23; 85-029 Bydgoszcz|52 372-91-61||laboratorium@sozo.com.pl|www.sozo.com.pl|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1475|2013-12-04|TB SYSTEM Tadeusz Bubeła - Laboratorium Badawcze|ul. M Konopnickiej 27A; 23-210 Kraśnik|TB SYSTEM Tadeusz Bubeła - Laboratorium Badawcze|ul. M. Konopnickiej 27A; 23-210 Kraśnik|| 500-124-200|laboratorium@tbsystem.pl|www.tbsystem.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1476|2014-01-14|Instytut Technologii Eksploatacji - Państwowy Instytut Badawczy|ul. K. Pułaskiego 6/10; 26-600 Radom|Laboratorium Systemów Sterowania|ul. K. Pułaskiego 6/10; 26-600 Radom|48 364-93-54||lab.emc@itee.radom.pl|www.itee.radom.pl|Badania kompatybilności elektromagnetycznej (EMC) (F)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne
AB 1477|2013-12-13|Agencja Bezpieczeństwa Wewnętrznego|ul. Rakowiecka 2A; 00-993 Warszawa|Biuro Badań Kryminalistycznych|ul. 1-go Sierpnia 30A; 02-134 Warszawa|22 585-60-36||bbk@abw.gov.pl|www.abw.gov.pl|Badania w dziedzinie nauk sądowych (I)|Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby inne
AB 1478|2013-12-18|"Specjalistyczne Laboratorium Badawcze ""ITA-TEST"" S.C. Małgorzata Czajkiewicz Irena Kruszelnicka-Szapałas"|ul. Obozowa 82a paw.1; 01-434 Warszawa|"Specjalistyczne Laboratorium Badawcze ""ITA-TEST"" S.C. Małgorzata Czajkiewicz Irena Kruszelnicka-Szapałas"|ul. Obozowa 82a paw.1; 01-434 Warszawa|22 877-36-00||itatest@itatest.pl|itatest.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1479|2013-12-20|Politechnika Opolska|ul. Prószkowska 76; 45-758 Opole|Laboratorium Materiałów Budowlanych|ul. Ozimska 75A; 45-368 Opole|77 449-85-95||kimb@po.opole.pl|www.po.opole.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1480|2014-01-09|Szpital Powiatowy w Limanowej Imienia Miłosierdzia Bożego|ul. Piłsudskiego 61; 34-600 Limanowa|Pracownia Bakteriologiczna|ul. Piłsudskiego 61; 34-600 Limanowa|18 330-17-96||kowalska.zofia@szpitallimanowa.pl|www.szpitallimanowa.pl|Badania mikrobiologiczne (K)|Obiekty i materiały biologiczne przeznaczone do badań
AB 1481|2014-02-14|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Gdańsku|ul. Subisława 5; 80-354 Gdańsk|Wydział Technologii - Laboratorium Drogowe|ul. Subisława 5; 80-354 Gdańsk|58 511-24-80||ldgdańsk@ggdkia.gov.pl||Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1482|2014-01-31|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Kielcach|ul. Paderewskiego 43/45; 25-950 Kielce|Wydział Technologii - Laboratorium Drogowe|ul. Przęsłowa 3; 25-670 Kielce|41 345-19-10||laboratorium.kielce@gddkia.gov.pl||Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1483|2014-02-03|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Olsztynie|al. Warszawska 89; 10-083 Olsztyn|Wydział Technologii - Laboratorium Drogowe|ul. Sokola 4b; 11-041 Olsztyn|89 522-09-30||sekretariat_ols_ld@gddkia.gov.pl|www.gddkia.gov.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1484|2014-01-27|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Poznaniu|ul. Siemiradzkiego 5A; 60-763 Poznań|Wydział Technologii - Laboratorium Drogowe|ul. Hawelańska 12; 61-625 Poznań|61 820-45-23||ldsekretariat.poznan@gddkia.gov.pl|www.gddkia.gov.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1485|2014-02-03|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Rzeszowie|ul. Legionów 20; 35-959 Rzeszów|Wydział Technologii - Laboratorium Drogowe|ul. Rejtana 8a; 35-310 Rzeszów|17 850-18-41||sekretariat_rzeszow@gddkia.gov.pl|www.gddkia.gov.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1486|2014-01-24|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Białymstoku|ul. Zwycięstwa 2; 15-703 Białystok|Wydział Technologii - Laboratorium Drogowe|ul. Zambrowska 2; 16-001 Kleosin|85 749-70-80||laboratorium.bialystok@gddkia.gov.pl|www.gddkia.gov.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1487|2014-01-07|INSPECTA POLSKA Sp. z o.o.|ul. Chełmżyńska 194; 04-464 Warszawa|Laboratorium|ul. Chełmżyńska 194; 04-464 Warszawa|22 518-70-65||ndt@ndt.com.pl|www.ndt.com.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1488|2014-02-05|Firma Handlowa BARWA Jarosław Czajkowski|ul. Warkocz; 25-253 Kielce|Laboratorium Badań Emisji LZO oraz Powłok Adhezyjnych|ul. Warkocz 3-5; 25-253 Kielce|41 302-25-70||lmichalak@barwa.kielce.pl|www.barwa.kielce.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1489|2014-01-31|Instytut Lotnictwa|Al. Krakowska 110/114; 02-256 Warszawa|Laboratorium Materiałoznawstwa|Al. Krakowska 110/114; 02-256 Warszawa|22 846-00-11||ilot@ilot.edu.pl|www.ilot.edu.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1490|2014-01-31|Instytut Lotnictwa|Al. Krakowska 110/114; 02-256 Warszawa|Laboratorium Badań Kompozytów|Al. Krakowska 110/114; 02-256 Warszawa|22 112-39-06||malgorzata.zalewska@ilot.edu.pl|www.ilot.edu.pl|Badania mechaniczne, badania metalograficzne (J)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1491|2014-01-31|Instytut Lotnictwa|Al. Krakowska 110/114; 02-256 Warszawa|Laboratorium Testów|Al. Krakowska 110/114; 02-256 Warszawa|22 116-38-20||||Badania właściwości fizycznych (N)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
